id,toxic
0,5.981326e-05
1,2.0235777e-05
2,0.17388746
3,1.5199184e-05
4,1.9341707e-05
5,0.002345562
6,6.0141087e-05
7,0.0023263693
8,0.014556915
9,0.33074397
10,9.059906e-06
11,0.34217516
12,0.9705886
13,0.06743139
14,0.9297613
15,0.18335193
16,0.0014033616
17,2.503395e-05
18,0.29286885
19,0.54876
20,0.0002834499
21,0.039643407
22,0.00060877204
23,0.213474
24,9.88245e-05
25,0.8458347
26,7.390976e-05
27,0.00020515919
28,0.40293807
29,0.0014619529
30,0.3907155
31,8.285046e-06
32,0.65921026
33,0.0003183186
34,8.633733e-05
35,0.00013378263
36,8.183718e-05
37,1.758337e-05
38,0.04319036
39,0.00011906028
40,0.00021559
41,0.00025445223
42,0.032396436
43,0.17339668
44,0.0037169158
45,0.00044575334
46,0.0010579228
47,2.0444393e-05
48,0.08587244
49,0.08019063
50,0.7237995
51,1.5974045e-05
52,0.9805307
53,0.0013517737
54,1.7434359e-05
55,0.00024688244
56,6.106496e-05
57,0.93088406
58,0.0004016161
59,0.00018629432
60,0.96426535
61,2.4110079e-05
62,0.045098335
63,0.00011575222
64,0.9860908
65,1.9133091e-05
66,8.499622e-05
67,8.785725e-05
68,0.43896487
69,0.046687335
70,0.7601135
71,7.751584e-05
72,0.9660537
73,0.5557094
74,5.9098005e-05
75,0.00011706352
76,0.00026091933
77,8.46982e-05
78,0.97853863
79,0.28071624
80,0.0038727224
81,0.16365921
82,0.0021096468
83,6.699562e-05
84,0.18223831
85,7.9900026e-05
86,0.00047644973
87,1.257658e-05
88,1.7851591e-05
89,0.93620104
90,2.7537346e-05
91,0.9535677
92,0.0001296103
93,0.08436397
94,0.35901552
95,8.365512e-05
96,0.10336578
97,0.992221
98,0.000100940466
99,2.9087067e-05
100,0.0002079606
101,0.17185846
102,7.44164e-05
103,0.04826796
104,0.47007132
105,0.00020292401
106,0.00017803907
107,2.0802021e-05
108,0.0004374683
109,9.0032816e-05
110,8.356571e-05
111,0.07421023
112,0.00021469593
113,0.18210772
114,0.00032237172
115,0.17803195
116,0.0001334846
117,1.5586615e-05
118,6.777048e-05
119,0.00012606382
120,0.23448607
121,7.131696e-05
122,0.00036016107
123,0.00020489097
124,0.00018814206
125,0.24425569
126,0.23682895
127,0.00061035156
128,0.44828475
129,0.00012135506
130,0.12259424
131,0.31564683
132,0.00010585785
133,0.08409548
134,2.9236078e-05
135,0.0002477169
136,2.002716e-05
137,0.3697429
138,0.014320523
139,0.00020104647
140,0.09141657
141,2.0325184e-05
142,0.00012341142
143,1.8507242e-05
144,6.771088e-05
145,0.09342238
146,0.53253734
147,9.316206e-05
148,2.7418137e-05
149,0.026309192
150,0.1379233
151,0.9763932
152,0.0007212758
153,1.3411045e-05
154,0.4634625
155,0.026814908
156,0.034961432
157,8.8602304e-05
158,0.00023677945
159,0.021184474
160,0.00018757582
161,7.030368e-05
162,1.9282103e-05
163,0.00014066696
164,0.0013457835
165,0.0070572495
166,0.024027824
167,1.3738871e-05
168,6.0111284e-05
169,0.00019070506
170,0.00013273954
171,0.18482232
172,9.000301e-06
173,2.4497509e-05
174,0.24185944
175,6.330013e-05
176,8.678436e-05
177,7.408857e-05
178,1.6152859e-05
179,0.6568109
180,0.41745198
181,0.00641343
182,6.8336725e-05
183,0.00032150745
184,0.0007930398
185,0.17568952
186,5.9515238e-05
187,0.9851917
188,8.21352e-05
189,1.1175871e-05
190,0.0035700202
191,0.0007761419
192,0.92053014
193,0.00012743473
194,0.046859443
195,1.975894e-05
196,7.8856945e-05
197,0.9433094
198,2.7865171e-05
199,0.7662729
200,0.21419123
201,0.002041638
202,0.0001527965
203,0.026564956
204,1.50203705e-05
205,0.00025597215
206,0.1969617
207,0.2776146
208,0.14239952
209,0.0587731
210,6.3955784e-05
211,0.0099852085
212,0.00018689036
213,0.0001103282
214,0.00059330463
215,0.25874323
216,0.85844254
217,0.99017215
218,0.054264426
219,0.9468081
220,0.00027391315
